id_penjualan,id_invoice,tanggal,id_barang,nama_barang,lini,unit,jumlah_barang,harga,subtotal,id_customer,nama_customer,cabang_sales,group_category
IN5997_BRG0001,IN5997,2020-01-22,BRG0001,"ACYCLOVIR DUS","OGB & PH",DUS,1,96000,96000,CUST55380,"APOTEK TAPAK",Aceh,Apotek
IN5997_BRG0002,IN5997,2020-01-22,BRG0002,"ALERGINE TABLET SALUT",ETIKAL,DUS,4,112000,448000,CUST55380,"APOTEK TAPAK",Aceh,Apotek
IN5997_BRG0003,IN5997,2020-01-22,BRG0003,AMPICILLIN,MARCKS,BOTOL,6,17000,102000,CUST55380,"APOTEK TAPAK",Aceh,Apotek
IN5997_BRG0004,IN5997,2020-01-22,BRG0004,"TRAMADOL KAPSUL 50 MG",VNS,TABLET,11,24500,269500,CUST55380,"APOTEK TAPAK",Aceh,Apotek
IN5997_BRG0005,IN5997,2020-01-22,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,40,47000,1880000,CUST55380,"APOTEK TAPAK",Aceh,Apotek
IN6297_BRG0002,IN6297,2020-01-22,BRG0002,"ALERGINE TABLET SALUT",ETIKAL,DUS,5,112000,560000,CUST55381,"APOTEK MAJA",Kuningan,Apotek
IN6297_BRG0005,IN6297,2020-01-22,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,15,47000,705000,CUST55381,"APOTEK MAJA",Kuningan,Apotek
IN6297_BRG0007,IN6297,2020-01-22,BRG0007,"ERGOTAMINE COFFEINE",ETIKAL,BOTOL,12,64700,776400,CUST55381,"APOTEK MAJA",Kuningan,Apotek
IN6297_BRG0008,IN6297,2020-01-22,BRG0008,"TETRACYCLINE KAPSUL 250 MG",MARCKS,TABLET,30,9800,294000,CUST55381,"APOTEK MAJA",Kuningan,Apotek
IN6155_BRG0003,IN6155,2021-01-22,BRG0003,AMPICILLIN,MARCKS,BOTOL,9,17000,153000,CUST55382,"KLINIK GM",Jakarta,Klinik
IN6155_BRG0004,IN6155,2021-01-22,BRG0004,"TRAMADOL KAPSUL 50 MG",VNS,TABLET,12,24500,294000,CUST55382,"KLINIK GM",Jakarta,Klinik
IN6155_BRG0005,IN6155,2021-01-22,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",SLCYL,TABLET,12,47000,564000,CUST55382,"KLINIK GM",Jakarta,Klinik
IN6155_BRG0006,IN6155,2021-01-22,BRG0006,"KETOCONAZOLE TABLET 200 MG","OGB & PH",TABLET,22,39000,858000,CUST55382,"KLINIK GM",Jakarta,Klinik
